waveSize,wTimeStamp,precipitation,windSpeed,locationName
2.09,1999-11-04 01:46:33,0,10.88,Mirounga angustirostris
3.09,1999-11-10 06:32:40,1,2.55,Semnopithecus entellus
18.32,2004-12-01 04:42:44,0,10.98,Chauna torquata
17.94,2013-03-09 06:14:02,1,5.56,Crotalus triseriatus
22.68,1996-03-15 01:31:32,1,20.71,Vanellus sp.
14.42,1995-04-08 11:33:34,1,19.9,Paradoxurus hermaphroditus
1.71,2016-02-24 07:24:28,1,0.37,Oxybelis sp.
14.84,2019-08-18 03:42:50,1,3.57,Lamprotornis nitens
12.56,1996-12-06 02:31:10,0,18.68,Melanerpes erythrocephalus
1.35,2019-11-27 07:43:08,0,22.18,Meleagris gallopavo
4.69,1992-03-14 09:10:03,0,3.55,Cercatetus concinnus
11.42,2004-01-04 01:15:29,1,3.58,Cyrtodactylus louisiadensis
17.42,2000-05-03 08:37:24,0,21.76,Bettongia penicillata
5.02,2009-01-26 10:21:56,1,4.1,Ciconia episcopus
6.55,1994-01-22 03:09:25,0,22.86,Notechis semmiannulatus
4.79,2006-01-23 10:28:17,0,1.58,Buteo jamaicensis
16.17,2014-12-10 03:19:20,1,9.05,Eudyptula minor
18.83,2021-03-08 03:08:25,1,12.47,Notechis semmiannulatus
13.66,2000-02-22 02:18:51,0,4.61,Myiarchus tuberculifer
16.25,2008-07-16 06:33:24,0,17.67,Rangifer tarandus
22.39,2012-07-07 01:45:33,1,14.8,Pterocles gutturalis
16.86,2000-11-20 07:13:46,0,7.94,Vanellus sp.
17.95,2000-06-01 09:25:23,0,14.65,Dasypus novemcinctus
24.99,2005-02-25 06:33:07,0,0.93,Spermophilus parryii
1.96,2023-08-27 07:10:34,1,22.41,Bradypus tridactylus
14.88,2022-04-26 05:51:30,0,4.19,Phalacrocorax carbo
2.46,2013-02-18 07:27:05,0,2.55,Fregata magnificans
6.06,2016-01-25 01:02:45,0,12.31,Corvus brachyrhynchos
13.9,1997-03-22 03:12:04,0,11.61,Papio cynocephalus
4.92,1995-03-20 09:40:31,0,2.18,Drymarchon corias couperi
9.53,2017-08-06 06:47:56,1,5.9,Cercatetus concinnus
13,2023-12-12 10:25:0,1,6.35,Mirounga angustirostris
10.1,1991-01-16 11:11:26,0,4.37,Ciconia episcopus
1.88,2019-09-02 09:11:10,1,8.42,Chionis alba
23.13,2010-04-02 03:55:13,0,6.93,Felis caracal
14.59,2006-02-17 11:16:22,0,21.6,Dasypus novemcinctus
16.83,1998-11-09 10:07:37,1,18.03,Agama sp.
24.94,1994-03-16 02:01:32,0,20.78,Sylvicapra grimma
19.22,2013-06-13 04:35:0,1,0.47,Chlamydosaurus kingii
9.49,1997-06-05 02:14:39,0,1.75,Falco mexicanus
3.09,2014-10-16 02:51:27,0,23.06,Alligator mississippiensis
1.05,2022-06-25 05:50:16,1,20.51,Rangifer tarandus
16.29,2000-01-07 07:48:52,1,16.38,Coluber constrictor
22.83,2010-10-01 05:0:02,1,15.38,Dipodomys deserti
19.36,1996-12-11 06:38:06,0,10.3,Colobus guerza
14.49,2006-08-05 08:52:47,1,2.96,Mirounga angustirostris
2.9,2005-06-04 06:31:13,1,5.54,Fregata magnificans
11,2005-09-11 05:58:19,0,19.05,Eudyptula minor
23.5,2020-08-12 05:42:22,1,15.16,Gopherus agassizii
13.83,2001-04-08 02:55:46,1,10.77,Falco mexicanus
22.07,1998-05-13 12:21:59,1,5.67,Canis mesomelas
13.08,1996-10-08 09:51:54,1,16.9,Drymarchon corias couperi
2.76,2008-10-19 09:50:18,0,18,Papio cynocephalus
0.95,1997-06-13 04:14:42,0,8.33,Semnopithecus entellus
0.82,1997-05-27 10:58:51,0,10.47,Chauna torquata
17.72,2019-06-08 05:27:34,1,3.68,Gymnorhina tibicen
22.06,2017-10-11 05:37:50,1,12.95,Connochaetus taurinus
11.01,2006-02-25 05:41:50,1,3.82,Spermophilus parryii
22.37,2021-08-05 10:37:12,0,12.58,Sula dactylatra
22.25,2007-06-20 03:56:22,0,13.19,Gopherus agassizii
5.31,2018-11-06 06:46:26,1,9.43,Bradypus tridactylus
0.56,2011-12-05 03:58:54,1,11.19,Papio cynocephalus
0.44,1991-01-01 01:45:37,0,1.21,Meleagris gallopavo
0.48,1992-06-24 05:48:19,0,5.48,Pterocles gutturalis
22.58,2017-07-19 09:23:11,1,12.64,Redunca redunca
21.32,2001-08-11 12:44:26,1,19.65,Mirounga angustirostris
22.55,2002-03-08 03:41:06,1,7.21,Canis mesomelas
7.97,2013-02-08 06:01:33,1,8.13,Coluber constrictor
9,2006-05-25 08:01:59,1,10.5,Pseudalopex gymnocercus
7.41,2010-12-08 05:10:56,1,4.16,Eurocephalus anguitimens
4.71,2011-02-06 09:13:13,1,16.06,Lamprotornis nitens
5.88,2008-12-18 12:06:29,0,13.7,Pseudalopex gymnocercus
8.68,2015-06-20 08:25:38,1,23.16,Pseudalopex gymnocercus
0.66,2019-10-25 08:02:26,1,21.24,Eurocephalus anguitimens
7.58,2006-02-20 09:42:51,1,20.23,Deroptyus accipitrinus
23.27,1998-10-01 11:10:49,0,11.24,Colobus guerza
6.99,1991-12-16 01:12:55,1,24.62,Crotalus triseriatus
7.61,2015-03-25 06:28:37,0,17.02,Eudyptula minor
22.33,2009-02-26 11:22:21,1,0.09,Erethizon dorsatum
24.42,2016-08-27 10:28:03,0,10.79,Colobus guerza
0.08,1991-11-10 11:41:56,0,0.85,Gymnorhina tibicen
16.71,1996-11-21 01:27:43,1,5.16,Dasypus novemcinctus
8.74,1991-09-10 01:36:13,0,6.86,Chloephaga melanoptera
5.53,2019-01-16 09:23:35,0,10.54,Bradypus tridactylus
11.56,2006-03-03 09:54:47,1,3.92,Bucorvus leadbeateri
0.94,2010-12-19 10:22:27,0,17.36,Connochaetus taurinus
15.04,2002-04-13 05:55:21,1,14.8,Eurocephalus anguitimens
1.75,2017-04-01 09:37:18,1,13.21,Dasypus novemcinctus
3.99,2012-05-02 04:34:50,1,17.64,Antidorcas marsupialis
21.3,1997-08-20 03:54:45,0,19.94,Pseudalopex gymnocercus
18.11,1993-07-07 12:51:35,1,19.66,Redunca redunca
4.15,2002-12-16 11:47:09,1,6.18,Rangifer tarandus
5.52,1990-04-21 04:02:03,1,20.49,Pterocles gutturalis
23.57,2020-10-24 08:11:27,0,24.17,Larus dominicanus
21.9,2004-06-23 10:30:40,0,9.53,Eudyptula minor
24.07,1993-05-14 03:28:50,0,10.73,Lamprotornis nitens
6.32,2011-09-11 06:33:40,1,19.5,Acridotheres tristis
7.8,2013-08-21 09:35:45,0,14.32,Chloephaga melanoptera
2.88,2008-08-04 01:42:08,1,10.75,Lamprotornis nitens
21.55,2003-02-16 07:38:20,0,2.14,Cacatua tenuirostris
14.54,2006-01-22 05:22:57,0,5.28,Crotalus triseriatus
21.17,1997-03-05 02:27:52,1,0.97,Antidorcas marsupialis
5.53,2017-08-11 12:12:21,0,23.03,Canis mesomelas
24.03,2020-06-21 11:39:03,1,20.84,Crotalus triseriatus
19.97,2022-05-03 01:03:01,1,20.4,Bucorvus leadbeateri
24.31,1995-04-21 05:59:01,1,4.53,Sylvicapra grimma
3.33,2007-05-06 04:56:40,1,24.77,Conolophus subcristatus
19.4,2023-10-17 11:53:58,1,8.32,Cacatua tenuirostris
5.71,1997-04-21 02:27:44,0,3.4,Sula dactylatra
9.81,2002-06-22 02:29:10,0,16.02,Notechis semmiannulatus
11.82,2019-10-09 11:59:0,0,12.79,Myiarchus tuberculifer
24.59,2005-07-04 07:14:42,1,14.42,Melanerpes erythrocephalus
7.12,2007-09-26 04:30:18,0,6.57,Pterocles gutturalis
1.12,2000-03-12 01:40:09,1,11.81,Bubalus arnee
16.89,2000-09-19 12:16:21,0,14.46,Semnopithecus entellus
19.08,1999-06-10 09:09:39,0,18.42,Erethizon dorsatum
23.25,1999-10-01 04:15:07,1,17.81,Chelodina longicollis
20.96,2021-09-04 04:11:34,1,22.96,Falco mexicanus
15.52,2013-12-08 06:40:12,0,20.78,Oxybelis sp.
16.32,2018-06-17 04:45:08,0,19.44,Canis mesomelas
8.24,2014-05-13 01:23:33,1,12.46,Vanellus sp.
12.32,2023-12-18 10:55:58,0,3.07,Erethizon dorsatum
11.39,2001-01-22 09:45:23,0,10.31,Drymarchon corias couperi
13.29,2019-06-26 02:25:48,0,24.14,Spermophilus parryii
23.97,2001-11-08 06:44:21,1,13.2,Erethizon dorsatum
17.31,2009-05-20 05:07:06,0,2.29,Fregata magnificans
24.51,2005-01-21 11:33:25,0,14.71,Naja nivea
20.56,2000-03-06 12:16:31,0,16.33,Felis caracal
23.69,2017-01-08 02:18:12,0,4.74,Crotalus triseriatus
0.91,1990-07-10 06:49:34,0,10.34,Ciconia episcopus
13.82,2002-07-20 10:26:28,1,15.48,Canis aureus
23.07,1992-11-24 11:56:26,1,23.25,Vanellus sp.
7.39,2017-12-03 01:13:40,0,13.89,Phalacrocorax niger
20.22,1994-06-05 12:01:25,1,9.98,Buteo jamaicensis
20.45,2020-03-26 01:46:30,0,4.31,Myiarchus tuberculifer
22.04,2020-02-10 01:38:14,0,16.63,Erethizon dorsatum
10.08,2007-03-19 11:56:33,1,17.54,Papio cynocephalus
22.75,1994-12-12 08:10:16,0,3.42,Spermophilus parryii
9.02,1990-02-17 09:41:35,1,9.81,Larus dominicanus
1.34,2011-04-21 06:19:04,0,5.33,Cynictis penicillata
0.69,2012-08-20 03:28:07,0,23.1,Phalacrocorax niger
11.22,1998-11-09 10:09:50,1,8.67,Cynomys ludovicianus
23.72,1998-03-18 06:12:16,1,1.77,Cynictis penicillata
22.18,2021-10-12 03:28:08,1,11.69,Bucorvus leadbeateri
21.2,1996-01-19 05:28:44,0,24.91,Tiliqua scincoides
8.43,1994-08-10 04:17:03,1,23.5,Estrilda erythronotos
4.48,2011-12-23 07:44:49,1,11.3,Crotalus triseriatus
22.78,1990-02-16 11:30:16,0,24.58,Myiarchus tuberculifer
17.84,2005-05-22 01:23:50,1,20.83,Pseudalopex gymnocercus
14.11,1999-10-26 08:24:01,1,6.9,Sula dactylatra
24.08,2006-12-09 05:34:52,1,3.62,Corvus albicollis
9.54,2012-02-06 12:11:29,1,0.22,Bubalus arnee
2.82,1996-02-24 05:48:56,0,1.02,Lama glama
8.4,2012-02-20 11:12:35,0,19.41,Eudyptula minor
1.37,2008-04-10 08:31:05,0,16.19,Canis mesomelas
8.14,1994-01-14 12:44:58,1,22.36,Eudyptula minor
15.3,2017-12-25 04:21:28,1,5.62,Eudyptula minor
0.83,2006-09-14 01:34:55,1,16.39,Falco mexicanus
8.31,2020-07-27 02:17:28,0,18.59,Deroptyus accipitrinus
2.43,1990-05-23 03:08:47,0,8.18,Colobus guerza
16.28,2010-02-18 04:13:51,1,0.68,Naja nivea
9.04,2003-04-06 11:01:55,1,23.69,Chlamydosaurus kingii
0.14,1992-03-16 10:11:25,0,7.63,Rangifer tarandus
3.23,2001-04-26 07:50:18,0,9.35,Cyrtodactylus louisiadensis
24.46,2012-09-17 12:07:40,1,20.05,Eudyptula minor
6.72,1995-12-20 06:51:49,1,24.39,Chionis alba
8.28,2003-06-09 11:20:26,1,9.94,Buteo jamaicensis
20.72,2012-07-03 11:51:02,1,2.5,Colobus guerza
5.78,1990-02-09 03:03:23,1,12.5,Chlamydosaurus kingii
4.02,1999-05-04 07:55:31,1,3.36,Sula dactylatra
3.26,2009-04-03 09:18:36,1,0.82,Cynictis penicillata
24.12,2006-07-01 02:09:14,0,8.97,Sula dactylatra
23.9,2002-09-13 04:23:19,1,8.12,Connochaetus taurinus
7.81,2012-04-12 12:16:36,1,15.92,Phascogale calura
21.58,2023-04-22 04:34:08,1,16.97,Redunca redunca
15.06,2003-10-11 04:27:14,0,5.45,Chauna torquata
0.51,2007-08-09 04:26:41,1,9.57,Felis caracal
12.72,2022-04-25 04:39:43,0,22.29,Sula dactylatra
12.12,2023-10-01 05:04:42,1,22.45,Coluber constrictor
4.08,1998-06-09 03:58:53,0,21.43,Falco mexicanus
12.83,2018-08-16 03:20:40,0,21.15,Chelodina longicollis
1.41,2001-11-20 11:47:28,1,12.67,Antidorcas marsupialis
22.77,2010-03-08 10:08:51,0,11.97,Corvus brachyrhynchos
2.36,1997-02-15 06:44:54,0,13.5,Lamprotornis nitens
18.2,1992-08-04 12:33:0,1,8.21,Lamprotornis nitens
14.76,1992-10-27 05:27:17,0,6.7,Oxybelis sp.
14.22,2023-05-01 07:50:55,1,19.62,Lama glama
3.09,2014-05-20 01:29:01,1,21.22,Canis aureus
16.53,1996-10-23 10:22:05,1,6.65,Ciconia episcopus
24.98,1995-06-27 11:35:42,0,7.74,Phalacrocorax carbo
3.97,1995-05-14 08:31:46,1,4.04,Myiarchus tuberculifer
19.44,1996-06-14 11:56:40,1,10.94,Eudyptula minor
11.5,2022-03-18 03:37:39,1,18.76,Buteo jamaicensis
14.26,2001-06-11 03:22:41,0,5.09,Cercatetus concinnus
1.02,2014-05-23 11:01:17,0,9.55,Bettongia penicillata
20.42,1992-05-25 09:19:18,0,10.69,Anhinga rufa
7.93,2000-05-14 06:14:55,1,4.83,Rangifer tarandus
21.3,1992-12-05 07:47:25,0,5.39,Chloephaga melanoptera
21.94,1992-05-22 03:56:20,1,10.41,Cynomys ludovicianus
17.48,2017-07-17 12:53:53,0,19.96,Corvus brachyrhynchos
16.09,2023-02-18 04:27:44,0,8.71,Melanerpes erythrocephalus
3.78,1997-03-22 10:20:59,1,8.24,Dasypus novemcinctus
18.98,2023-01-11 03:21:50,0,22.34,Vanellus sp.
1.29,2020-10-26 11:24:09,1,14.02,Chauna torquata
22.88,2002-12-11 07:25:54,1,3.23,Acridotheres tristis
3.5,2022-11-18 03:23:49,1,22.41,Erethizon dorsatum
22.42,1992-04-03 08:26:39,1,22.34,Ciconia episcopus
7.96,1996-07-14 10:25:33,1,9.62,Haematopus ater
14.9,2009-08-10 04:39:10,0,6.96,Crotalus triseriatus
8.84,2001-02-05 06:09:17,0,14.41,Spermophilus parryii
4.84,1997-04-05 12:23:08,0,18.5,Cynomys ludovicianus
12.39,2004-10-12 03:13:15,1,14.52,Bucorvus leadbeateri
18.15,2010-08-05 02:13:12,0,7.87,Tiliqua scincoides
11.81,2017-06-02 02:41:53,1,10.08,Fregata magnificans
14.46,1995-12-21 12:18:25,0,17.1,Felis caracal
22.42,2016-01-17 02:06:08,0,23.84,Dipodomys deserti
16.61,2003-09-13 12:21:03,1,7.27,Paradoxurus hermaphroditus
12.83,2017-06-14 11:40:08,1,3.24,Bucorvus leadbeateri
19.93,2001-08-17 12:09:28,0,21.77,Damaliscus lunatus
18.36,2014-09-18 05:58:17,0,22.74,Eurocephalus anguitimens
6.86,2006-03-18 04:02:44,1,5.27,Vanellus sp.
2.55,1999-01-02 02:16:04,0,16.45,Cercatetus concinnus
11.74,2000-03-01 07:41:46,0,20.87,Spermophilus parryii
5.25,1998-02-21 12:52:45,0,12.1,Corvus albicollis
13.32,2009-11-23 11:57:25,1,3.28,Rangifer tarandus
0.7,1993-06-12 01:33:16,0,2.37,Semnopithecus entellus
5.81,2005-08-06 11:44:33,0,17.76,Canis mesomelas
2.17,2023-02-14 06:31:46,0,21.66,Coluber constrictor
14.48,2005-07-20 04:52:20,0,22.84,Eudyptula minor
2.63,2019-09-14 09:10:09,0,15.89,Vanellus sp.
4.59,2013-11-07 02:09:25,1,16.2,Corvus brachyrhynchos
4.87,2015-03-23 01:42:39,1,23.78,Estrilda erythronotos
22.97,2010-01-21 07:10:24,0,1.15,Bucorvus leadbeateri
18.93,2007-09-14 06:58:24,1,18.51,Anhinga rufa
7.06,1995-10-27 11:14:38,0,2.11,Damaliscus lunatus
11.78,1992-06-04 12:11:58,0,18.52,Cacatua tenuirostris
21.99,2006-01-08 05:55:04,1,14.49,Lama glama
20.87,2022-11-09 09:41:32,0,16.14,Cacatua tenuirostris
18.9,2012-08-09 06:11:22,1,15.01,Pterocles gutturalis
6.37,1990-06-05 02:43:07,0,1.16,Bucorvus leadbeateri
0.61,2003-08-06 11:07:35,0,18.03,Vanellus sp.
17.97,1992-05-11 10:33:04,1,15.42,Damaliscus lunatus
0.7,2009-07-04 06:01:30,1,19.58,Redunca redunca
24.61,2017-09-23 12:30:12,1,13.58,Larus dominicanus
21.62,2013-01-24 08:15:25,0,13.03,Gopherus agassizii
6.38,2000-11-05 01:30:50,1,7.28,Chionis alba
18.44,1996-09-20 01:57:56,1,2.63,Haematopus ater
1.81,2014-08-02 02:33:19,0,6.47,Cyrtodactylus louisiadensis
20.32,1993-09-11 12:11:41,1,18.79,Eudyptula minor
19.83,2006-03-27 04:52:59,1,22.82,Cynictis penicillata
13.13,2008-05-10 08:55:02,1,17.96,Canis mesomelas
0.4,2010-11-02 10:47:15,1,14.03,Crotalus triseriatus
24.38,1993-09-27 07:31:08,0,10.05,Anhinga rufa
23.26,1998-08-24 05:50:31,0,21.67,Cynictis penicillata
9.66,2017-10-15 06:33:45,0,11.67,Melanerpes erythrocephalus
5.5,2002-12-25 07:38:14,1,1.6,Estrilda erythronotos
5.95,1990-01-21 10:30:35,1,10.22,Drymarchon corias couperi
4.52,2002-07-24 05:35:02,1,0.89,Cercatetus concinnus
15.81,2023-01-05 12:01:43,0,6.23,Eudyptula minor
9.07,2009-03-09 07:13:46,0,7.27,Dendrohyrax brucel
18.54,2023-12-22 07:55:32,1,24.51,Felis caracal
16.52,2022-06-12 09:26:04,1,21.53,Drymarchon corias couperi
20.81,1996-06-24 07:43:13,0,15.06,Sylvicapra grimma
13.49,2006-08-06 07:39:54,0,23.09,Colobus guerza
14.91,1995-05-22 06:12:35,1,3.87,Corvus albicollis
17.04,1992-06-12 10:43:22,1,6.95,Ciconia episcopus
19.85,2013-01-15 09:41:44,1,5.93,Chauna torquata
15.43,2017-06-22 10:58:52,1,12.83,Acridotheres tristis
16.42,1998-03-04 12:36:52,1,10.88,Cyrtodactylus louisiadensis
21.05,1995-06-23 05:32:09,1,13.99,Connochaetus taurinus
11.41,2001-02-08 09:45:46,1,16.28,Bubalus arnee
22.22,2006-05-27 01:14:57,0,10.33,Canis aureus
8.57,2018-09-25 12:33:05,1,15.71,Bradypus tridactylus
2.8,2005-04-05 05:26:23,1,8.32,Anhinga rufa
23.4,1992-07-08 07:20:01,1,4.08,Bucorvus leadbeateri
7.68,2017-08-03 06:13:31,0,5.09,Rangifer tarandus
21.18,2018-07-07 12:33:42,1,5.28,Fregata magnificans
24.26,2013-04-03 06:01:11,0,1,Lamprotornis nitens
19.27,2017-11-11 05:26:18,1,1.55,Mirounga angustirostris
3.76,2015-02-13 10:55:22,0,18.13,Fregata magnificans
15.98,1999-12-21 12:18:37,0,12.09,Oxybelis sp.
7.87,2021-05-20 06:18:07,1,7.94,Meleagris gallopavo
6.83,2019-05-25 05:05:35,0,1.4,Fregata magnificans
19.14,1998-07-01 09:56:27,0,13.73,Connochaetus taurinus
15.12,1994-12-17 09:54:25,1,6.72,Cercatetus concinnus
15.17,1992-07-11 07:11:36,0,15.03,Tiliqua scincoides
10.17,2022-06-05 07:34:06,1,17.04,Semnopithecus entellus
