descript,pTimeStamp,userId,locationName
Libris quaeritur qui sit finis quid,2018-10-21 10:06:22,48,Deroptyus accipitrinus
Plurimum afferat Nam diligi et carum esse iucundum,2000-05-27 04:13:59,5,unavailable
Tantum enim esse censet quantus videtur,2019-12-14 10:10:30,3,Tiliqua scincoides
Malum est vivere cum dolore,2023-02-09 01:32:26,94,Cynictis penicillata
De finibus bonorum et malorum fere a,1993-12-13 12:33:59,64,Phascogale calura
Nihil afferrent quo iucundius id est voluptatem et dolorem,2021-07-23 05:35:24,87,Canis mesomelas
Morbis impediri necesse est Animi autem morbi sunt cupiditates,1997-12-18 05:49:23,36,Conolophus subcristatus
Voluptatibus nullo dolore nec impediente nec inpendente quem tandem,2012-12-18 10:02:15,66,Eudyptula minor
Ferrentur et ut dixi ad lineam numquam fore ut,2019-10-17 05:36:49,13,Deroptyus accipitrinus
Iudicium retinent ne voluptate victi faciant id quod propositum,1996-11-28 02:51:25,38,Bradypus tridactylus
Et urbane Stoicos irridente statua est in eo quod,1996-10-15 02:15:40,44,Chlamydosaurus kingii
Non inviti legant Quis enim tam,2010-07-15 04:25:58,63,Tiliqua scincoides
Contra metum religionis et sedatio animi omnium rerum occultarum ignoratione sublata et moderatio,1998-08-16 06:01:36,18,Deroptyus accipitrinus
Quidem video esse a nostris de amicitia dicenda sunt Praeclare,2006-06-01 07:05:44,19,Agama sp.
Beatus Multoque hoc melius nos veriusque quam Stoici,2002-05-19 12:44:40,35,Canis mesomelas
Est nihil desiderare manum cum ita esset affecta secundum non recte si,2001-03-02 08:09:18,33,Chionis alba
Meis civibus si ad eorum cognitionem divina illa ingenia,2008-09-08 01:30:29,24,Vanellus sp.
Vindicet et ipsius fortunae modice ferre doceat iniurias,2009-05-05 04:14:34,88,Falco mexicanus
Sunt illius scripta leviora ut urbanitas summa appareat doctrina mediocris Ego,2015-01-26 10:27:25,73,Falco mexicanus
Epicuri sententia de voluptate a meque ei responsum,2002-10-12 08:13:41,77,Chelodina longicollis
Etiam oportet in eo quod semel admissum coerceri reprimique,1996-08-17 03:16:48,27,Anhinga rufa
Iis servire qui vel utrisque litteris uti velint vel,2003-09-15 11:10:33,41,Naja nivea
Se indicaverunt Quodsi qui satis sibi contra hominum conscientiam,1992-07-07 07:35:48,77,Anhinga rufa
Nec quid eventurum sit provident ob eamque causam propter voluptatem,2008-04-28 07:42:59,73,Spermophilus parryii
Quem ad modum sit affectus eum necesse,1994-07-24 11:16:50,96,Phascogale calura
Cum eas voluptates quae ad amicos pertinerent negarent,2011-08-06 02:46:44,99,Acridotheres tristis
Desideraret quia quod dolore caret id in hominum,1994-09-25 06:20:45,48,Deroptyus accipitrinus
Sunt sic inprobitas si cuius in mente consedit,2000-01-09 10:31:39,96,Dasypus novemcinctus
Qui se plane Graecum dici velit ut a Scaevola est praetore salutatus,2011-08-21 01:30:26,73,Bucorvus leadbeateri
Et adhaesiones atomorum inter se ex quo efficeretur mundus omnesque,1991-04-22 12:43:14,2,Damaliscus lunatus
Ut succumbere doloribus eosque humili animo inbecilloque ferre miserum est,2009-12-21 04:01:20,11,Papio cynocephalus
Omnes atomi declinabunt nullae umquam cohaerescent sive aliae declinabunt aliae suo nutu recte ferentur,2017-12-22 11:03:38,9,Alligator mississippiensis
In oculis quidem exercitus -- Quid ex eo perciperet corpore,2020-11-30 11:16:03,9,Colobus guerza
Et firmitatem animi nec mortem nec dolorem timentis quod mors sensu,2015-07-14 08:34:43,10,Chelodina longicollis
Inimicus paene nomini Romano est qui Ennii Medeam aut Antiopam Pacuvii,1991-03-21 08:49:36,10,Canis aureus
Contumeliae tum iracundiae contentiones concertationesque in disputando pertinaces indignae,2011-01-09 08:23:17,13,Mirounga angustirostris
Nihil sane -- 'At si voluptas esset bonum desideraret,1995-01-01 04:45:50,9,Conolophus subcristatus
Ei responsum cum C Triarius in,2015-09-01 02:20:11,10,Phascogale calura
Iucunde Neque enim civitas in seditione beata esse,2011-11-22 04:09:29,12,Lamprotornis nitens
Tu quidem oderis ut fere faciunt qui ab eo dissentiunt sed certe,2006-05-01 02:28:43,8,Meleagris gallopavo
Vel eum iure reprehenderit qui in una virtute,2015-12-06 06:29:58,9,Redunca redunca
Malum dolorem idque instituit docere sic Omne animal simul atque,1995-09-10 03:59:14,8,Redunca redunca
Flagitem Re mihi non aeque satisfacit et quidem locis pluribus,2016-03-08 02:48:28,9,Sula dactylatra
Philosophia defensa et collaudata est cum esset accusata,1992-03-27 07:41:02,15,Chauna torquata
Enim cupiditates a natura proficiscuntur facile explentur sine ulla iniuria quae autem,1996-08-30 05:50:03,14,Papio cynocephalus
Sine metu degendae praesidia firmissima -- Filium morte multavit -- Si sine causa nollem,1996-04-02 11:49:58,10,Falco mexicanus
Exultat oratio reperire exitum potest nisi derigatur ad voluptatem voluptas autem est,1993-01-30 04:55:08,5,Cynictis penicillata
Ille quidem utrumque Phaedrum autem etiam,2015-07-21 03:24:24,15,Gymnorhina tibicen
Ut cognoscerem quoniam mihi ea facultas ut id apte,2008-09-04 08:14:43,7,Redunca redunca
Provincias atomis dare quae recte quae oblique ferantur deinde eadem illa,2019-03-01 09:37:15,14,Phascogale calura
Epicuri sententiae satis notae sunt Atque eos quos nominavi cum Attico nostro frequenter,2004-03-15 10:42:49,11,Naja nivea
Earum explicatis et ut dixi ad lineam,2009-02-03 08:06:34,11,Spermophilus parryii
Apud se dicere iuberet reque ex utraque parte audita pronuntiaret eum non talem,2018-02-22 01:13:08,11,Alligator mississippiensis
Sequatur si illa mala sint laetitia si bona O praeclaram beate vivendi et,1992-07-04 03:36:47,11,Notechis semmiannulatus
A natura ipsa iudicari Ea quid percipit aut quid,1991-06-18 10:10:48,11,Acridotheres tristis
Delectamur cum scribimus quis est tam invidus,1994-10-12 08:56:49,13,Sula dactylatra
Corpore voluptatem aut cum Latinis tertio consulatu conflixisse,2001-04-25 04:56:44,13,Acridotheres tristis
Ipsius artis sed bonae valetudinis causa probamus et gubernatoris ars,2006-11-30 03:19:21,13,Falco mexicanus
Iucundo motu voluptatis Sin autem summa voluptas,1994-11-08 09:02:56,7,Antidorcas marsupialis
Malint modo legant illa ipsa ne simulent et,2017-01-14 11:02:54,9,Ciconia episcopus
Autem usus progrediens familiaritatem effecerit tum amorem efflorescere tantum ut,2001-01-20 09:16:58,14,Eudyptula minor
Non inopem ut vulgo putarent sed locupletiorem etiam esse quam vacare omni dolore,2022-08-18 04:23:37,10,Connochaetus taurinus
Loqueretur intellegere quid diceret Aliena dixit in physicis nec ea,1995-11-27 11:45:38,6,Eudyptula minor
Sunt qua ante quam nati et ad eos,2019-10-24 05:58:45,11,Corvus albicollis
Utrumque Phaedrum autem etiam amatoriis levitatibus dediti,2018-03-17 02:15:02,8,Anhinga rufa
Divina illa ingenia transferrem Sed id,2005-07-01 04:44:58,9,Myiarchus tuberculifer
Et pariter dolemus angoribus Quocirca eodem modo sapiens erit,2018-12-30 09:56:54,11,Sylvicapra grimma
Servire qui vel utrisque litteris uti velint vel si suas habent,1998-05-25 06:14:38,7,Notechis semmiannulatus
Ratione et via procedat oratio Quaerimus igitur quid sit extremum et ultimum bonorum,2012-10-19 08:20:51,14,Chlamydosaurus kingii
Et ortum esse e corpore et ad corpus referri,1990-01-29 05:42:28,5,Deroptyus accipitrinus
Ponatur sed sine hoc institutionem omnino,1993-10-12 05:52:41,6,Oxybelis sp.
Ne simulent et iis servire qui vel,2000-03-03 01:27:54,8,Anhinga rufa
Laetamur iis quae recordamur Stulti autem malorum memoria,2017-06-22 09:06:42,11,Tiliqua scincoides
Videtur expediunt Ut enim ad minim veniam quis nostrud exercitation ullamco,2007-03-04 09:06:16,13,Anhinga rufa
Quae plerisque notissima est Quam a nobis sic intelleges eitam ut,2004-05-12 11:12:42,12,Chloephaga melanoptera
Desideret Tum vero si stabilem scientiam rerum tenebimus servata illa,2007-07-29 02:03:11,6,Chloephaga melanoptera
Numen horreat nec praeteritas voluptates effluere patiatur earumque assidua recordatione laetetur,2018-09-20 12:48:31,13,Pterocles gutturalis
Hominum ac primorum signiferumque maluisti dici Graece ergo praetor Athenis id,2005-10-05 10:32:10,9,Agama sp.
Non placuit Epicuro medium esse quiddam inter dolorem,1994-11-23 12:19:14,7,Larus dominicanus
Nec medium nec ultimum nec extremum sit ita ferri ut,2003-01-04 08:42:24,6,Gymnorhina tibicen
Rerum facilis est et ad usus civium non inutile nosque,1994-01-17 03:21:39,13,Connochaetus taurinus
Principio sed ex aeterno tempore intellegi convenire Epicurus autem in quibus,2012-06-14 10:15:09,8,Dasypus novemcinctus
Nisi nescio quam illam umbram quod appellant honestum non,2016-06-13 08:54:18,12,Falco mexicanus
Faciam interdictum puto Locos quidem quosdam si videbitur transferam et maxime ab iis quos modo,2017-04-17 02:38:47,12,Falco mexicanus
Doloribus torqueantur sapientia est adhibenda quae et splendide dicta,2014-11-10 02:42:34,11,Deroptyus accipitrinus
Albucius hinc inimicus Sed iure Mucius Ego autem mirari satis non,2021-06-02 01:48:33,10,Fregata magnificans
Libris quaeritur qui sit finis quid,1998-05-28 11:14:55,8,Deroptyus accipitrinus
Plurimum afferat Nam diligi et carum esse iucundum,2016-10-22 11:17:16,11,Eudyptula minor
Tantum enim esse censet quantus videtur,1991-02-05 07:16:13,10,Cyrtodactylus louisiadensis
Malum est vivere cum dolore,1998-10-05 04:17:47,10,Bettongia penicillata
De finibus bonorum et malorum fere a,2006-05-28 11:38:59,9,Anhinga rufa
Nihil afferrent quo iucundius id est voluptatem et dolorem,2002-03-01 10:26:09,11,Crotalus triseriatus
Morbis impediri necesse est Animi autem morbi sunt cupiditates,2013-07-11 05:02:13,11,Dasypus novemcinctus
Voluptatibus nullo dolore nec impediente nec inpendente quem tandem,2010-01-18 05:28:56,13,Agama sp.
Ferrentur et ut dixi ad lineam numquam fore ut,1995-10-12 11:32:03,14,Paradoxurus hermaphroditus
Iudicium retinent ne voluptate victi faciant id quod propositum,1996-01-10 02:35:52,6,Coluber constrictor
Et urbane Stoicos irridente statua est in eo quod,1997-02-12 01:18:10,12,unavailable
Non inviti legant Quis enim tam,2022-05-11 01:03:14,14,Falco mexicanus
Contra metum religionis et sedatio animi omnium rerum occultarum ignoratione sublata et moderatio,2002-02-10 01:49:55,10,Deroptyus accipitrinus
Quidem video esse a nostris de amicitia dicenda sunt Praeclare,2006-10-22 11:13:16,5,Notechis semmiannulatus
Beatus Multoque hoc melius nos veriusque quam Stoici,1999-01-12 12:49:27,9,Bettongia penicillata
Est nihil desiderare manum cum ita esset affecta secundum non recte si,1999-09-03 11:56:14,11,Cacatua tenuirostris
Meis civibus si ad eorum cognitionem divina illa ingenia,2002-08-20 05:37:31,8,Deroptyus accipitrinus
Vindicet et ipsius fortunae modice ferre doceat iniurias,2011-09-26 06:20:34,11,Bradypus tridactylus
Sunt illius scripta leviora ut urbanitas summa appareat doctrina mediocris Ego,2017-08-28 02:55:33,15,Falco mexicanus
Epicuri sententia de voluptate a meque ei responsum,2003-09-08 09:45:44,6,Sylvicapra grimma
Etiam oportet in eo quod semel admissum coerceri reprimique,2000-07-06 02:26:42,9,Naja nivea
Iis servire qui vel utrisque litteris uti velint vel,2004-07-11 03:33:10,6,Colobus guerza
Se indicaverunt Quodsi qui satis sibi contra hominum conscientiam,2010-03-04 04:31:23,7,Pterocles gutturalis
Nec quid eventurum sit provident ob eamque causam propter voluptatem,1995-09-29 12:06:52,10,Connochaetus taurinus
Quem ad modum sit affectus eum necesse,2004-06-29 12:16:44,13,Dasypus novemcinctus
Cum eas voluptates quae ad amicos pertinerent negarent,2006-06-21 04:19:13,6,Damaliscus lunatus
Desideraret quia quod dolore caret id in hominum,2017-01-23 08:41:26,12,Phalacrocorax carbo
Sunt sic inprobitas si cuius in mente consedit,1997-02-16 12:54:19,11,Dipodomys deserti
Qui se plane Graecum dici velit ut a Scaevola est praetore salutatus,2012-04-25 11:47:17,13,Deroptyus accipitrinus
Et adhaesiones atomorum inter se ex quo efficeretur mundus omnesque,1991-10-02 08:06:44,14,Pseudalopex gymnocercus
Ut succumbere doloribus eosque humili animo inbecilloque ferre miserum est,1993-02-23 12:16:39,6,Spermophilus parryii
Omnes atomi declinabunt nullae umquam cohaerescent sive aliae declinabunt aliae suo nutu recte ferentur,2023-06-23 07:41:59,12,Falco mexicanus
In oculis quidem exercitus -- Quid ex eo perciperet corpore,2022-05-30 08:43:31,15,Sylvicapra grimma
Et firmitatem animi nec mortem nec dolorem timentis quod mors sensu,1993-01-01 05:14:48,8,Erethizon dorsatum
Inimicus paene nomini Romano est qui Ennii Medeam aut Antiopam Pacuvii,2022-05-24 09:25:15,10,Spermophilus parryii
Contumeliae tum iracundiae contentiones concertationesque in disputando pertinaces indignae,2013-12-07 02:33:27,12,Alligator mississippiensis
Nihil sane -- 'At si voluptas esset bonum desideraret,1993-03-12 07:24:15,9,Chlamydosaurus kingii
Ei responsum cum C Triarius in,2017-07-27 02:04:28,5,Phalacrocorax niger
Iucunde Neque enim civitas in seditione beata esse,2014-05-18 09:56:29,11,Myiarchus tuberculifer
Tu quidem oderis ut fere faciunt qui ab eo dissentiunt sed certe,2023-10-09 06:50:02,10,Deroptyus accipitrinus
Vel eum iure reprehenderit qui in una virtute,2019-12-12 09:47:07,9,Chloephaga melanoptera
Malum dolorem idque instituit docere sic Omne animal simul atque,2015-08-27 06:16:0,10,Colobus guerza
Flagitem Re mihi non aeque satisfacit et quidem locis pluribus,2017-01-06 06:45:04,8,Chloephaga melanoptera
Philosophia defensa et collaudata est cum esset accusata,2009-10-30 07:18:14,9,Felis caracal
Enim cupiditates a natura proficiscuntur facile explentur sine ulla iniuria quae autem,2009-03-06 06:59:05,6,Papio cynocephalus
Sine metu degendae praesidia firmissima -- Filium morte multavit -- Si sine causa nollem,2006-05-04 08:50:15,11,Chionis alba
Exultat oratio reperire exitum potest nisi derigatur ad voluptatem voluptas autem est,1990-10-23 11:45:46,7,Eudyptula minor
Ille quidem utrumque Phaedrum autem etiam,1994-12-10 09:42:44,14,Haematopus ater
Ut cognoscerem quoniam mihi ea facultas ut id apte,2001-09-23 08:23:33,14,Cynomys ludovicianus
Provincias atomis dare quae recte quae oblique ferantur deinde eadem illa,2010-09-09 12:27:22,14,Corvus brachyrhynchos
Epicuri sententiae satis notae sunt Atque eos quos nominavi cum Attico nostro frequenter,1992-03-04 11:02:24,14,Sylvicapra grimma
Earum explicatis et ut dixi ad lineam,2009-10-04 12:09:49,13,Ciconia episcopus
Apud se dicere iuberet reque ex utraque parte audita pronuntiaret eum non talem,2014-02-03 03:39:54,13,Antidorcas marsupialis
Sequatur si illa mala sint laetitia si bona O praeclaram beate vivendi et,1997-08-09 10:37:08,7,Haematopus ater
A natura ipsa iudicari Ea quid percipit aut quid,2019-06-16 05:35:52,15,Spermophilus parryii
Delectamur cum scribimus quis est tam invidus,2021-05-17 02:01:37,8,Chauna torquata
Corpore voluptatem aut cum Latinis tertio consulatu conflixisse,2005-12-01 10:09:14,14,Naja nivea
Ipsius artis sed bonae valetudinis causa probamus et gubernatoris ars,2001-01-22 08:22:14,7,Paradoxurus hermaphroditus
Iucundo motu voluptatis Sin autem summa voluptas,2009-01-04 06:30:16,8,Chlamydosaurus kingii
Malint modo legant illa ipsa ne simulent et,2006-05-30 09:33:39,12,Deroptyus accipitrinus
Autem usus progrediens familiaritatem effecerit tum amorem efflorescere tantum ut,2004-01-20 11:13:35,8,Falco mexicanus
Non inopem ut vulgo putarent sed locupletiorem etiam esse quam vacare omni dolore,2008-07-25 09:56:54,7,Cacatua tenuirostris
Loqueretur intellegere quid diceret Aliena dixit in physicis nec ea,2014-05-03 03:23:08,10,Phascogale calura
Sunt qua ante quam nati et ad eos,2013-05-27 09:27:54,9,Chloephaga melanoptera
Utrumque Phaedrum autem etiam amatoriis levitatibus dediti,2009-10-15 08:14:45,14,Oxybelis sp.
Divina illa ingenia transferrem Sed id,1992-10-06 11:0:59,10,Cercatetus concinnus
Et pariter dolemus angoribus Quocirca eodem modo sapiens erit,1998-10-25 05:33:48,14,Anhinga rufa
Servire qui vel utrisque litteris uti velint vel si suas habent,2007-02-19 01:09:40,13,Bubalus arnee
Ratione et via procedat oratio Quaerimus igitur quid sit extremum et ultimum bonorum,2019-06-25 02:45:19,14,Naja nivea
Et ortum esse e corpore et ad corpus referri,2009-08-30 10:13:04,15,Rangifer tarandus
Ponatur sed sine hoc institutionem omnino,2006-06-15 09:05:30,11,Falco mexicanus
Ne simulent et iis servire qui vel,2014-07-30 02:15:53,11,Redunca redunca
Laetamur iis quae recordamur Stulti autem malorum memoria,2020-08-15 10:15:20,7,Colobus guerza
Videtur expediunt Ut enim ad minim veniam quis nostrud exercitation ullamco,2005-12-30 03:39:27,12,Dasypus novemcinctus
Quae plerisque notissima est Quam a nobis sic intelleges eitam ut,2023-05-04 07:45:09,6,Tiliqua scincoides
Desideret Tum vero si stabilem scientiam rerum tenebimus servata illa,2010-05-17 10:49:28,6,Deroptyus accipitrinus
Numen horreat nec praeteritas voluptates effluere patiatur earumque assidua recordatione laetetur,2014-07-04 03:22:14,15,Phalacrocorax niger
Hominum ac primorum signiferumque maluisti dici Graece ergo praetor Athenis id,2000-02-12 05:47:57,5,Cynictis penicillata
Non placuit Epicuro medium esse quiddam inter dolorem,1998-07-24 02:20:50,13,Spermophilus parryii
Nec medium nec ultimum nec extremum sit ita ferri ut,1995-07-05 07:31:57,12,Phalacrocorax carbo
Rerum facilis est et ad usus civium non inutile nosque,2008-04-05 10:05:06,11,Lama glama
Principio sed ex aeterno tempore intellegi convenire Epicurus autem in quibus,1994-04-22 11:47:08,14,Larus dominicanus
Nisi nescio quam illam umbram quod appellant honestum non,2008-10-04 07:52:11,8,Larus dominicanus
Faciam interdictum puto Locos quidem quosdam si videbitur transferam et maxime ab iis quos modo,1994-02-10 04:05:52,6,Deroptyus accipitrinus
Doloribus torqueantur sapientia est adhibenda quae et splendide dicta,1995-10-28 12:24:17,5,Anhinga rufa
Albucius hinc inimicus Sed iure Mucius Ego autem mirari satis non,1995-05-22 07:17:46,9,Dipodomys deserti
Libris quaeritur qui sit finis quid,2012-07-30 08:51:43,15,Corvus albicollis
Plurimum afferat Nam diligi et carum esse iucundum,1992-01-11 10:42:29,6,Lama glama
Tantum enim esse censet quantus videtur,2021-04-19 10:48:18,7,Chelodina longicollis
Malum est vivere cum dolore,1993-01-01 04:50:15,13,Phalacrocorax carbo
De finibus bonorum et malorum fere a,2019-01-01 06:45:01,12,Tiliqua scincoides
Nihil afferrent quo iucundius id est voluptatem et dolorem,2023-04-23 04:58:26,10,Sylvicapra grimma
Morbis impediri necesse est Animi autem morbi sunt cupiditates,2001-11-14 01:26:27,11,Paradoxurus hermaphroditus
Voluptatibus nullo dolore nec impediente nec inpendente quem tandem,2017-09-18 01:43:54,11,Mirounga angustirostris
Ferrentur et ut dixi ad lineam numquam fore ut,1990-03-29 05:59:13,9,Phascogale calura
Iudicium retinent ne voluptate victi faciant id quod propositum,2014-02-16 04:13:40,6,Chloephaga melanoptera
Et urbane Stoicos irridente statua est in eo quod,2022-10-05 03:31:44,9,Dasypus novemcinctus
Non inviti legant Quis enim tam,1994-06-10 06:07:48,7,Mirounga angustirostris
Contra metum religionis et sedatio animi omnium rerum occultarum ignoratione sublata et moderatio,1992-02-27 10:19:16,11,Redunca redunca
Quidem video esse a nostris de amicitia dicenda sunt Praeclare,2009-12-16 01:01:58,13,Semnopithecus entellus
Beatus Multoque hoc melius nos veriusque quam Stoici,2006-10-27 05:42:26,8,Alligator mississippiensis
Est nihil desiderare manum cum ita esset affecta secundum non recte si,1995-05-03 04:17:24,5,Gopherus agassizii
Meis civibus si ad eorum cognitionem divina illa ingenia,2019-09-26 02:18:19,8,Agama sp.
Vindicet et ipsius fortunae modice ferre doceat iniurias,2005-03-01 07:42:42,6,Phascogale calura
Sunt illius scripta leviora ut urbanitas summa appareat doctrina mediocris Ego,2003-12-28 07:50:37,10,Spermophilus parryii
Epicuri sententia de voluptate a meque ei responsum,2013-01-25 09:13:49,10,Erethizon dorsatum
Etiam oportet in eo quod semel admissum coerceri reprimique,2006-04-28 08:06:27,8,Cercatetus concinnus
Iis servire qui vel utrisque litteris uti velint vel,2022-12-11 05:40:44,13,Tiliqua scincoides
Se indicaverunt Quodsi qui satis sibi contra hominum conscientiam,2013-06-17 11:28:07,13,Sylvicapra grimma
Nec quid eventurum sit provident ob eamque causam propter voluptatem,1994-06-26 07:21:05,11,Felis caracal
Quem ad modum sit affectus eum necesse,2011-10-09 02:0:44,7,Pterocles gutturalis
Cum eas voluptates quae ad amicos pertinerent negarent,2008-06-24 03:05:12,6,Dasypus novemcinctus
Desideraret quia quod dolore caret id in hominum,2016-03-12 05:31:10,15,Ephippiorhynchus mycteria
Sunt sic inprobitas si cuius in mente consedit,2006-10-20 01:24:37,9,Cacatua tenuirostris
Qui se plane Graecum dici velit ut a Scaevola est praetore salutatus,1998-11-23 04:55:23,6,Chloephaga melanoptera
Et adhaesiones atomorum inter se ex quo efficeretur mundus omnesque,2023-06-13 11:59:22,8,Alligator mississippiensis
Ut succumbere doloribus eosque humili animo inbecilloque ferre miserum est,2015-08-02 02:08:37,9,Crotalus triseriatus
Omnes atomi declinabunt nullae umquam cohaerescent sive aliae declinabunt aliae suo nutu recte ferentur,2006-08-17 09:26:52,5,Eudyptula minor
In oculis quidem exercitus -- Quid ex eo perciperet corpore,2020-03-15 02:09:14,7,Mirounga angustirostris
Et firmitatem animi nec mortem nec dolorem timentis quod mors sensu,2000-03-02 04:23:31,12,Semnopithecus entellus
Inimicus paene nomini Romano est qui Ennii Medeam aut Antiopam Pacuvii,1992-05-14 11:08:52,10,Sylvicapra grimma
