descript,cTimeStamp,userId,postId
Omnes atomi declinabunt nullae umquam cohaerescent sive aliae declinabunt aliae suo nutu recte ferentur,2003-06-09 10:51:29,9,550
In oculis quidem exercitus -- Quid ex eo perciperet corpore,2022-08-24 11:06:47,9,553
Et firmitatem animi nec mortem nec dolorem timentis quod mors sensu,2014-10-13 09:57:01,10,200
Inimicus paene nomini Romano est qui Ennii Medeam aut Antiopam Pacuvii,2012-07-14 02:23:24,10,373
Contumeliae tum iracundiae contentiones concertationesque in disputando pertinaces indignae,2016-02-17 12:23:41,13,26
Nihil sane -- 'At si voluptas esset bonum desideraret,2009-06-27 11:10:49,9,232
Ei responsum cum C Triarius in,2006-12-13 09:47:29,10,303
Iucunde Neque enim civitas in seditione beata esse,2022-06-19 05:26:00,12,609
Tu quidem oderis ut fere faciunt qui ab eo dissentiunt sed certe,2006-01-15 10:48:11,8,492
Vel eum iure reprehenderit qui in una virtute,1994-09-13 01:13:09,9,421
Malum dolorem idque instituit docere sic Omne animal simul atque,2008-12-09 10:32:36,8,42
Flagitem Re mihi non aeque satisfacit et quidem locis pluribus,1991-02-27 07:56:24,9,587
Philosophia defensa et collaudata est cum esset accusata,2013-05-08 03:41:51,15,299
Enim cupiditates a natura proficiscuntur facile explentur sine ulla iniuria quae autem,1992-02-02 03:40:56,14,487
Sine metu degendae praesidia firmissima -- Filium morte multavit -- Si sine causa nollem,2013-02-04 08:33:00,10,400
Exultat oratio reperire exitum potest nisi derigatur ad voluptatem voluptas autem est,1997-06-13 04:19:41,5,419
Ille quidem utrumque Phaedrum autem etiam,2000-09-21 05:50:00,15,596
Ut cognoscerem quoniam mihi ea facultas ut id apte,2007-02-03 09:08:37,7,25
Provincias atomis dare quae recte quae oblique ferantur deinde eadem illa,2013-11-23 08:29:03,14,238
Epicuri sententiae satis notae sunt Atque eos quos nominavi cum Attico nostro frequenter,2007-03-09 07:34:02,11,281
Earum explicatis et ut dixi ad lineam,2013-03-27 03:06:39,11,300
Apud se dicere iuberet reque ex utraque parte audita pronuntiaret eum non talem,1994-09-26 06:50:55,11,610
Sequatur si illa mala sint laetitia si bona O praeclaram beate vivendi et,2004-10-17 06:46:50,11,530
A natura ipsa iudicari Ea quid percipit aut quid,2016-01-20 05:27:56,11,447
Delectamur cum scribimus quis est tam invidus,2007-09-18 06:45:31,13,248
Corpore voluptatem aut cum Latinis tertio consulatu conflixisse,2020-04-11 08:51:18,13,425
Ipsius artis sed bonae valetudinis causa probamus et gubernatoris ars,2016-12-22 09:52:58,13,508
Iucundo motu voluptatis Sin autem summa voluptas,1994-06-01 10:20:06,7,97
Malint modo legant illa ipsa ne simulent et,2007-02-18 01:23:11,9,222
Autem usus progrediens familiaritatem effecerit tum amorem efflorescere tantum ut,1995-01-07 08:47:05,14,340
Non inopem ut vulgo putarent sed locupletiorem etiam esse quam vacare omni dolore,2021-04-21 11:53:01,10,351
Loqueretur intellegere quid diceret Aliena dixit in physicis nec ea,2010-05-13 10:08:08,6,205
Sunt qua ante quam nati et ad eos,2020-04-16 03:41:07,11,38
Utrumque Phaedrum autem etiam amatoriis levitatibus dediti,2003-07-22 02:29:51,8,98
Divina illa ingenia transferrem Sed id,1996-06-25 12:55:43,9,489
Et pariter dolemus angoribus Quocirca eodem modo sapiens erit,2011-01-12 12:17:32,11,94
Servire qui vel utrisque litteris uti velint vel si suas habent,2019-04-25 03:48:39,7,451
Ratione et via procedat oratio Quaerimus igitur quid sit extremum et ultimum bonorum,2018-04-24 12:32:16,14,179
Et ortum esse e corpore et ad corpus referri,1995-06-17 08:39:20,5,531
Ponatur sed sine hoc institutionem omnino,2003-02-01 11:07:08,6,285
Ne simulent et iis servire qui vel,2014-09-26 07:56:34,8,287
Laetamur iis quae recordamur Stulti autem malorum memoria,2008-05-06 12:11:50,11,560
Videtur expediunt Ut enim ad minim veniam quis nostrud exercitation ullamco,2016-09-14 01:59:13,13,168
Quae plerisque notissima est Quam a nobis sic intelleges eitam ut,2003-12-15 05:13:17,12,13
Desideret Tum vero si stabilem scientiam rerum tenebimus servata illa,2011-01-23 10:22:26,6,108
Numen horreat nec praeteritas voluptates effluere patiatur earumque assidua recordatione laetetur,2015-11-09 06:19:51,13,498
Hominum ac primorum signiferumque maluisti dici Graece ergo praetor Athenis id,2018-11-02 03:30:24,9,298
Non placuit Epicuro medium esse quiddam inter dolorem,2003-05-20 06:10:01,7,411
Nec medium nec ultimum nec extremum sit ita ferri ut,2022-03-09 10:18:39,6,241
Rerum facilis est et ad usus civium non inutile nosque,2021-07-25 02:21:01,13,89
Principio sed ex aeterno tempore intellegi convenire Epicurus autem in quibus,1993-08-03 11:02:33,8,255
Nisi nescio quam illam umbram quod appellant honestum non,1994-05-20 12:32:08,12,16
Faciam interdictum puto Locos quidem quosdam si videbitur transferam et maxime ab iis quos modo,2000-05-08 04:25:52,12,558
Doloribus torqueantur sapientia est adhibenda quae et splendide dicta,1990-12-18 02:34:08,11,128
Albucius hinc inimicus Sed iure Mucius Ego autem mirari satis non,1993-05-09 03:50:08,10,353
Libris quaeritur qui sit finis quid,2012-08-16 03:11:37,8,384
Plurimum afferat Nam diligi et carum esse iucundum,2001-09-21 01:18:03,11,593
Tantum enim esse censet quantus videtur,2010-12-12 02:16:57,10,343
Malum est vivere cum dolore,2000-01-25 03:34:52,10,210
De finibus bonorum et malorum fere a,1995-10-07 12:39:08,9,424
Nihil afferrent quo iucundius id est voluptatem et dolorem,2023-12-18 09:26:21,11,598
Morbis impediri necesse est Animi autem morbi sunt cupiditates,2008-04-05 04:52:05,11,63
Voluptatibus nullo dolore nec impediente nec inpendente quem tandem,2018-04-11 01:39:29,13,278
Ferrentur et ut dixi ad lineam numquam fore ut,2004-06-06 06:46:55,14,318
Iudicium retinent ne voluptate victi faciant id quod propositum,2016-12-01 03:06:12,6,104
Et urbane Stoicos irridente statua est in eo quod,2023-06-13 04:24:42,12,125
Non inviti legant Quis enim tam,1999-05-27 03:21:30,14,354
Contra metum religionis et sedatio animi omnium rerum occultarum ignoratione sublata et moderatio,2009-07-16 10:16:24,10,53
Quidem video esse a nostris de amicitia dicenda sunt Praeclare,2021-03-26 03:05:27,5,91
Beatus Multoque hoc melius nos veriusque quam Stoici,2003-03-22 10:39:30,9,485
Est nihil desiderare manum cum ita esset affecta secundum non recte si,2015-04-13 12:44:22,11,597
Meis civibus si ad eorum cognitionem divina illa ingenia,2005-10-15 03:04:56,8,231
Vindicet et ipsius fortunae modice ferre doceat iniurias,2022-06-22 03:34:33,11,281
Sunt illius scripta leviora ut urbanitas summa appareat doctrina mediocris Ego,2003-03-09 04:41:52,15,457
Epicuri sententia de voluptate a meque ei responsum,2010-11-03 05:51:53,6,79
Etiam oportet in eo quod semel admissum coerceri reprimique,1992-09-06 09:59:57,9,396
Iis servire qui vel utrisque litteris uti velint vel,2022-10-16 06:05:52,6,182
Se indicaverunt Quodsi qui satis sibi contra hominum conscientiam,2020-02-01 10:52:16,7,411
Nec quid eventurum sit provident ob eamque causam propter voluptatem,2009-09-17 07:31:42,10,319
Quem ad modum sit affectus eum necesse,2005-03-27 05:04:15,13,271
Cum eas voluptates quae ad amicos pertinerent negarent,2012-11-19 06:28:09,6,512
Desideraret quia quod dolore caret id in hominum,2011-03-27 03:26:16,12,270
Sunt sic inprobitas si cuius in mente consedit,1995-01-17 06:46:43,11,161
Qui se plane Graecum dici velit ut a Scaevola est praetore salutatus,2008-02-11 05:22:14,13,280
Et adhaesiones atomorum inter se ex quo efficeretur mundus omnesque,2002-11-24 11:25:49,14,487
Ut succumbere doloribus eosque humili animo inbecilloque ferre miserum est,2004-11-21 06:20:06,6,596
Omnes atomi declinabunt nullae umquam cohaerescent sive aliae declinabunt aliae suo nutu recte ferentur,1993-10-02 03:48:55,12,515
In oculis quidem exercitus -- Quid ex eo perciperet corpore,1997-04-10 08:07:24,15,460
Et firmitatem animi nec mortem nec dolorem timentis quod mors sensu,2010-03-01 06:45:29,8,117
Inimicus paene nomini Romano est qui Ennii Medeam aut Antiopam Pacuvii,2015-04-22 09:38:29,10,404
Contumeliae tum iracundiae contentiones concertationesque in disputando pertinaces indignae,2020-02-25 01:27:34,12,284
Nihil sane -- 'At si voluptas esset bonum desideraret,1999-04-19 10:37:25,9,486
Ei responsum cum C Triarius in,1992-11-11 09:48:37,5,176
Iucunde Neque enim civitas in seditione beata esse,2002-10-21 12:43:34,11,266
Tu quidem oderis ut fere faciunt qui ab eo dissentiunt sed certe,2002-01-11 02:09:41,10,19
Vel eum iure reprehenderit qui in una virtute,1998-07-25 10:18:39,9,606
Malum dolorem idque instituit docere sic Omne animal simul atque,2023-09-21 09:37:46,10,278
Flagitem Re mihi non aeque satisfacit et quidem locis pluribus,1992-10-02 01:54:01,8,9
Philosophia defensa et collaudata est cum esset accusata,2012-08-06 09:57:53,9,601
Enim cupiditates a natura proficiscuntur facile explentur sine ulla iniuria quae autem,2007-09-08 04:36:38,6,345
Sine metu degendae praesidia firmissima -- Filium morte multavit -- Si sine causa nollem,2014-06-15 07:00:56,11,522
Exultat oratio reperire exitum potest nisi derigatur ad voluptatem voluptas autem est,2006-10-23 12:00:51,7,430
Ille quidem utrumque Phaedrum autem etiam,2015-04-18 06:09:34,14,164
Ut cognoscerem quoniam mihi ea facultas ut id apte,1995-10-09 11:56:36,14,359
Provincias atomis dare quae recte quae oblique ferantur deinde eadem illa,2000-08-07 09:41:03,14,367
Epicuri sententiae satis notae sunt Atque eos quos nominavi cum Attico nostro frequenter,1994-10-13 03:20:11,14,349
Earum explicatis et ut dixi ad lineam,1994-08-17 05:55:09,13,515
Apud se dicere iuberet reque ex utraque parte audita pronuntiaret eum non talem,2011-12-20 11:02:58,13,519
Sequatur si illa mala sint laetitia si bona O praeclaram beate vivendi et,1995-06-11 07:46:49,7,295
A natura ipsa iudicari Ea quid percipit aut quid,2001-04-22 05:26:12,15,263
Delectamur cum scribimus quis est tam invidus,2021-02-06 11:54:20,8,243
Corpore voluptatem aut cum Latinis tertio consulatu conflixisse,2022-05-02 10:49:54,14,285
Ipsius artis sed bonae valetudinis causa probamus et gubernatoris ars,1990-01-15 11:05:12,7,476
Iucundo motu voluptatis Sin autem summa voluptas,2014-06-04 01:45:21,8,51
Malint modo legant illa ipsa ne simulent et,2023-03-04 12:43:15,12,490
Autem usus progrediens familiaritatem effecerit tum amorem efflorescere tantum ut,1991-02-18 01:16:23,8,511
Non inopem ut vulgo putarent sed locupletiorem etiam esse quam vacare omni dolore,1992-06-01 02:42:50,7,51
Loqueretur intellegere quid diceret Aliena dixit in physicis nec ea,1999-04-12 10:53:24,10,434
Sunt qua ante quam nati et ad eos,2019-03-13 08:04:11,9,276
Utrumque Phaedrum autem etiam amatoriis levitatibus dediti,2004-11-05 12:00:16,14,365
Divina illa ingenia transferrem Sed id,2012-01-27 04:59:46,10,499
Et pariter dolemus angoribus Quocirca eodem modo sapiens erit,1991-02-02 05:10:04,14,241
Servire qui vel utrisque litteris uti velint vel si suas habent,2009-04-16 08:05:23,13,590
Ratione et via procedat oratio Quaerimus igitur quid sit extremum et ultimum bonorum,2017-11-08 02:02:15,14,541
Et ortum esse e corpore et ad corpus referri,2021-07-09 03:57:28,15,242
Ponatur sed sine hoc institutionem omnino,2013-04-06 04:14:34,11,229
Ne simulent et iis servire qui vel,1990-06-02 09:27:01,11,409
Laetamur iis quae recordamur Stulti autem malorum memoria,2001-12-22 02:35:45,7,295
Videtur expediunt Ut enim ad minim veniam quis nostrud exercitation ullamco,1994-05-15 07:59:06,12,63
Quae plerisque notissima est Quam a nobis sic intelleges eitam ut,2002-12-27 06:30:29,6,64
Desideret Tum vero si stabilem scientiam rerum tenebimus servata illa,2006-01-27 06:38:11,6,9
Numen horreat nec praeteritas voluptates effluere patiatur earumque assidua recordatione laetetur,2001-11-14 09:19:06,15,293
Hominum ac primorum signiferumque maluisti dici Graece ergo praetor Athenis id,2017-09-11 06:13:50,5,562
Non placuit Epicuro medium esse quiddam inter dolorem,2003-01-03 03:59:48,13,95
Nec medium nec ultimum nec extremum sit ita ferri ut,1991-12-11 04:14:47,12,398
Rerum facilis est et ad usus civium non inutile nosque,2004-05-12 10:47:10,11,116
Principio sed ex aeterno tempore intellegi convenire Epicurus autem in quibus,2020-08-06 01:39:49,14,529
Nisi nescio quam illam umbram quod appellant honestum non,2009-07-17 04:07:02,8,190
Faciam interdictum puto Locos quidem quosdam si videbitur transferam et maxime ab iis quos modo,2014-09-15 02:38:10,6,573
Doloribus torqueantur sapientia est adhibenda quae et splendide dicta,1994-05-07 11:36:50,5,362
Albucius hinc inimicus Sed iure Mucius Ego autem mirari satis non,2008-02-20 01:30:39,9,337
Libris quaeritur qui sit finis quid,2016-04-09 10:37:39,15,179
Plurimum afferat Nam diligi et carum esse iucundum,2007-04-25 09:42:41,6,389
Tantum enim esse censet quantus videtur,2010-11-14 08:51:45,7,101
Malum est vivere cum dolore,1998-04-06 02:18:11,13,338
De finibus bonorum et malorum fere a,2007-03-08 08:30:41,12,199
Nihil afferrent quo iucundius id est voluptatem et dolorem,2012-02-08 10:34:44,10,345
Morbis impediri necesse est Animi autem morbi sunt cupiditates,2023-08-15 11:46:11,11,73
Voluptatibus nullo dolore nec impediente nec inpendente quem tandem,2017-02-09 02:22:11,11,508
Ferrentur et ut dixi ad lineam numquam fore ut,2002-10-04 08:34:35,9,600
Iudicium retinent ne voluptate victi faciant id quod propositum,1997-04-12 08:11:13,6,6
Et urbane Stoicos irridente statua est in eo quod,2005-01-16 09:09:53,9,327
Non inviti legant Quis enim tam,1994-05-26 10:36:04,7,607
Contra metum religionis et sedatio animi omnium rerum occultarum ignoratione sublata et moderatio,1995-10-01 02:47:49,11,228
Quidem video esse a nostris de amicitia dicenda sunt Praeclare,2013-11-23 11:45:58,13,221
Beatus Multoque hoc melius nos veriusque quam Stoici,1992-02-15 08:47:08,8,94
Est nihil desiderare manum cum ita esset affecta secundum non recte si,2001-09-24 11:39:47,5,61
Meis civibus si ad eorum cognitionem divina illa ingenia,2002-03-14 03:17:51,8,426
Vindicet et ipsius fortunae modice ferre doceat iniurias,2013-02-18 08:54:43,6,440
Sunt illius scripta leviora ut urbanitas summa appareat doctrina mediocris Ego,1995-09-15 01:34:07,10,395
Epicuri sententia de voluptate a meque ei responsum,2000-04-20 07:01:11,10,158
Etiam oportet in eo quod semel admissum coerceri reprimique,2005-05-18 03:49:39,8,463
Iis servire qui vel utrisque litteris uti velint vel,2006-09-05 05:27:08,13,359
Se indicaverunt Quodsi qui satis sibi contra hominum conscientiam,1995-09-20 04:26:45,13,97
Nec quid eventurum sit provident ob eamque causam propter voluptatem,2002-02-27 08:52:02,11,524
Quem ad modum sit affectus eum necesse,2010-04-27 09:14:05,7,153
Cum eas voluptates quae ad amicos pertinerent negarent,2009-02-13 08:29:47,6,422
Desideraret quia quod dolore caret id in hominum,2017-07-04 07:04:40,15,148
Sunt sic inprobitas si cuius in mente consedit,2017-05-22 01:17:53,9,417
Qui se plane Graecum dici velit ut a Scaevola est praetore salutatus,2014-07-08 07:29:57,6,413
Et adhaesiones atomorum inter se ex quo efficeretur mundus omnesque,2007-11-01 09:29:53,8,367
Ut succumbere doloribus eosque humili animo inbecilloque ferre miserum est,2004-07-20 03:48:02,9,139
Omnes atomi declinabunt nullae umquam cohaerescent sive aliae declinabunt aliae suo nutu recte ferentur,1998-10-01 12:10:02,5,299
In oculis quidem exercitus -- Quid ex eo perciperet corpore,2020-12-09 04:19:08,7,179
Et firmitatem animi nec mortem nec dolorem timentis quod mors sensu,2023-04-08 01:21:33,12,138
Inimicus paene nomini Romano est qui Ennii Medeam aut Antiopam Pacuvii,2007-11-27 01:58:13,10,537
Contumeliae tum iracundiae contentiones concertationesque in disputando pertinaces indignae,1993-04-27 03:31:45,13,435
Nihil sane -- 'At si voluptas esset bonum desideraret,1993-03-24 11:10:14,5,269
Ei responsum cum C Triarius in,1995-07-23 08:39:53,14,321
Iucunde Neque enim civitas in seditione beata esse,1993-04-15 11:47:40,5,158
Tu quidem oderis ut fere faciunt qui ab eo dissentiunt sed certe,1992-06-10 07:06:14,9,55
Vel eum iure reprehenderit qui in una virtute,2017-03-13 06:41:16,12,299
Malum dolorem idque instituit docere sic Omne animal simul atque,2005-02-17 01:26:18,6,496
Flagitem Re mihi non aeque satisfacit et quidem locis pluribus,2006-03-12 03:37:57,8,413
Philosophia defensa et collaudata est cum esset accusata,2016-07-21 12:51:00,11,5
Enim cupiditates a natura proficiscuntur facile explentur sine ulla iniuria quae autem,2003-10-04 09:14:03,13,450
Sine metu degendae praesidia firmissima -- Filium morte multavit -- Si sine causa nollem,2023-09-25 09:26:01,9,30
Exultat oratio reperire exitum potest nisi derigatur ad voluptatem voluptas autem est,2005-05-27 01:03:52,14,289
Ille quidem utrumque Phaedrum autem etiam,2019-02-25 07:31:44,12,187
Ut cognoscerem quoniam mihi ea facultas ut id apte,2019-06-23 08:54:21,11,206
Provincias atomis dare quae recte quae oblique ferantur deinde eadem illa,1991-06-08 06:50:51,6,137
Epicuri sententiae satis notae sunt Atque eos quos nominavi cum Attico nostro frequenter,1992-01-06 06:02:05,8,251
Earum explicatis et ut dixi ad lineam,2012-09-06 06:58:31,8,281
Apud se dicere iuberet reque ex utraque parte audita pronuntiaret eum non talem,2012-06-07 08:58:59,8,582
Sequatur si illa mala sint laetitia si bona O praeclaram beate vivendi et,2018-09-01 02:34:30,8,473
A natura ipsa iudicari Ea quid percipit aut quid,2005-08-04 11:52:47,6,428
Delectamur cum scribimus quis est tam invidus,2021-09-03 07:59:05,9,591
Corpore voluptatem aut cum Latinis tertio consulatu conflixisse,1993-10-01 11:40:48,15,587
Ipsius artis sed bonae valetudinis causa probamus et gubernatoris ars,2018-04-09 11:40:01,9,290
Iucundo motu voluptatis Sin autem summa voluptas,1995-08-23 03:00:34,5,394
Malint modo legant illa ipsa ne simulent et,2001-03-12 02:29:52,10,480
Autem usus progrediens familiaritatem effecerit tum amorem efflorescere tantum ut,1992-03-01 08:37:05,11,31
Non inopem ut vulgo putarent sed locupletiorem etiam esse quam vacare omni dolore,1999-01-26 11:03:48,8,165
Loqueretur intellegere quid diceret Aliena dixit in physicis nec ea,1997-06-08 02:26:35,13,372
Sunt qua ante quam nati et ad eos,2011-03-18 10:28:54,7,94
Utrumque Phaedrum autem etiam amatoriis levitatibus dediti,1996-11-18 11:12:19,7,484
Divina illa ingenia transferrem Sed id,2018-03-02 07:31:46,5,158
Et pariter dolemus angoribus Quocirca eodem modo sapiens erit,2006-07-09 02:55:21,11,58
Servire qui vel utrisque litteris uti velint vel si suas habent,1998-11-11 03:27:28,5,91
Ratione et via procedat oratio Quaerimus igitur quid sit extremum et ultimum bonorum,1993-10-23 02:16:27,11,191
Et ortum esse e corpore et ad corpus referri,2004-06-01 02:53:00,8,85
Ponatur sed sine hoc institutionem omnino,2011-04-08 07:01:04,5,175
Ne simulent et iis servire qui vel,2003-02-16 10:11:01,6,97
Laetamur iis quae recordamur Stulti autem malorum memoria,2007-06-12 05:59:04,7,335
Videtur expediunt Ut enim ad minim veniam quis nostrud exercitation ullamco,2016-03-06 12:41:53,6,421
Quae plerisque notissima est Quam a nobis sic intelleges eitam ut,2014-02-27 02:42:30,10,407
Desideret Tum vero si stabilem scientiam rerum tenebimus servata illa,1994-04-26 09:29:12,5,201
Numen horreat nec praeteritas voluptates effluere patiatur earumque assidua recordatione laetetur,2007-09-16 08:23:15,9,597
Hominum ac primorum signiferumque maluisti dici Graece ergo praetor Athenis id,2009-08-17 02:05:45,11,416
Non placuit Epicuro medium esse quiddam inter dolorem,2014-07-27 02:19:39,13,611
Nec medium nec ultimum nec extremum sit ita ferri ut,1999-04-12 04:21:08,12,308
Rerum facilis est et ad usus civium non inutile nosque,2023-08-07 01:20:50,13,492
Principio sed ex aeterno tempore intellegi convenire Epicurus autem in quibus,2012-03-20 03:33:31,14,488
Nisi nescio quam illam umbram quod appellant honestum non,1999-05-04 06:31:04,8,211
